# Indice      RAJ2000    Dec        Jmag     Hmag     Kmag     umag     gmag     rmag     imag     zmag    
  object287   49.39583   -5.7835    999       999       999       999       999       999       999       999      
  object288   52.25505   -8.17882   14.575   14.512   14.48    999       999       999       999       999      
  object289   51.99417   -7.93171   13.09    12.539   12.396   18.036   15.8     14.841   14.475   14.273  
  object290   51.75395   -7.85219   13.086   12.949   12.995   14.974   13.73    13.829   13.772   13.789  
  object291   51.17021   -7.26314   999       999       999       999       999       999       999       999      
  object292   51.46258   -6.82077   14.722   14.394   14.355   17.606   16.426   15.933   15.76    15.676  
  object293   52.06267   -6.22162   13.307   13.006   12.922   16.117   14.97    15.151   14.308   14.149  
  object294   51.94253   -6.00231   15.127   15.143   14.949   16.484   15.348   15.469   15.573   15.669  
  object295   0.1309     -8.78088   13.535   13.343   13.267   15.488   14.288   14.103   14.043   14.14   
  object296   2.87084    -10.18602  999       999       999       999       999       999       999       999      
